Nit;Fecha;Comentario;Evidencias 
800175594;30/07/2021;Me comunico con la señora Herminia, brinda correo para elenvió de la solicitud, se programa fecha de proxima gestión. ;No
800175594;17/08/2021;Me comunico con la señora Deisy Hoyos, informa que el correo llego a Spam, por lo tanto no se había validado, informa que comunicará al area encargada para su respectiva validación, se programa proxima gestión. ;No
800175594;24/08/2021;Me comunica la señora Deisy que el correo fue remitido a la señora Maida, me comunico con la señora Maida, informa haber enviado correo dando respuesta de que esta semana se haría el envio de la documentación, solicito volver a enviar correo ya que no se recibió, se programa proxima gestión. ;No
800175594;1/09/2021;Me comunica la señora Maida que el día de hoy estará enviando correo con las personas que se encontró toda la documentación, las que solo se encontro algunos documentos, las que no se puede hacer el envío por proceso jurídico y las que no se tiene documentación, a espera de este para saber el paso a seguir hablando con el doctor Esteban.;No
800175594;8/09/2021;Entidad hace envío de 30 documentos (solicitud de crédito, pagarés originales, anexo original), informa en la hoja enviada que no se encuentra los 16 faltantes, se programa comunicación.;No
800175594;9/09/2021;Me comunico con la señora Maida, se le recuerda correo para enviar en que estado se encuentran las personas faltantes por el envío de la documentación, informa que las obligaciones que se encuentran en proceso jurídico no tienen en cuenta el saldo reclamado a Garantías Comunitarias, solicito envío de documentos del proceso llevado a cabo, se programa proxima gestión. ;No
800175594;22/09/2021;Me comunico con la señora Maida, se le informa sobre los créditos que estan en proceso jurídico y no se tiene en cuenta el valor de GC se deberá hacer el debido reintegro de lo reclamado por la entidad, este se dispondra en el disponible que tenga la entidad, se le solicita cartas de endoso por los pagarés enviados, y el pagaré de la señora AMPARO MOTTA ESCALANTE, cédula 55151729, ya que este se recibió en copia, se le recuerda enviar base con los créditos en proceso jurídico para realizar la respectiva carta solicitando los reintegros, solicita enviar base de las personas que ha reclamado la entidad, junto con muestra de endoso, se hace envío del correo.;No
800175594;30/09/2021;Me comunico con la señora Maida, informa que el día sabado enviará los endosos de los pagarés a GC, además indica que en los procesos jurídicos de los otros créditos no se tuvo en cuenta el valor de GC, solicito enviar base relacionandolos para solicitar el reintegro de estos, se programa gestión.;No
800175594;7/10/2021;La señora Maida envía base de datos relacionando los créditos no recibidos por documentación a Garantías, se validá para solicitar posibles reintegros de estos créditos, en la cual se demuestra que de los 16 créditos faltantes, 8 de ellos se encuentran en procesos jurídicos vigentes e incluyen el valor reclamado a GC, y los otros 8 no cuentan con la documentación solicitada, se le informa carta solicitando reintegros por estos 8 créditos, se programa gestión. ;No
800175594;11/10/2021;Se comunica la señora Maida, solicitando información de como autenticar los endosos, se le explica que solo es necesario la firma del Gerente y siendo el caso el sello si la entidad lo tiene, comunica estar realizando el envío esta semana, se programa gestión. ;No
